name,price,image,info,type,stocks,brand,color
'Multi-Bit Drivers Set',1325.72,'RES/RES/multiBitDrivers1.jpg',"'Multi-Bit Drivers Set V1 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',50,'Stanley','Blue'
'Multi-Bit Drivers Set',1087.67,'RES/RES/multiBitDrivers2.jpg',"'Multi-Bit Drivers Set V2 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',10,'Klein','Black'
'Multi-Bit Drivers Set',1481.42,'RES/RES/multiBitDrivers3.jpg',"'Multi-Bit Drivers Set V3 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',15,'Picquic','Clear'
'Multi-Bit Drivers Set',1306.45,'RES/RES/multiBitDrivers4.jpg',"'Multi-Bit Drivers Set V4 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',31,'Ifixit','Red'
'Multi-Bit Drivers Set',1061.76,'RES/RES/multiBitDrivers5.jpg',"'Multi-Bit Drivers Set V5 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',25,'Craftsman','Blue'
'Multi-Bit Drivers Set',1609.79,'RES/RES/multiBitDrivers6.jpg',"'Multi-Bit Drivers Set V6 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',21,'Home Plus','Red'
'Multi-Bit Drivers Set',1376.02,'RES/RES/multiBitDrivers7.jpg',"'Multi-Bit Drivers Set V7 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',6,'Dewalt','Clear'
'Multi-Bit Drivers Set',1549.13,'RES/RES/multiBitDrivers8.jpg',"'Multi-Bit Drivers Set V8 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',13,'Best Way','Blue'
'Multi-Bit Drivers Set',1680.65,'RES/RES/multiBitDrivers9.jpg',"'Multi-Bit Drivers Set V9 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',42,'Milwaukee','Black'
'Multi-Bit Drivers Set',1451.7,'RES/RES/multiBitDrivers10.jpg',"'Multi-Bit Drivers Set V10 features heat-treated, alloy steel blades for increased durability. A comfort optimized handle is ideal for high and low torque applications. Blades and shafts are coated with a satin-nickel finish to resist corrosion.'",'Multi-Bit Drivers',22,'General','Red'
